StoreID,Store Type,Store Location,Associates per Open HourPre 4/5/2016,Associates per Open HourPost 4/5/2016,Open Time Pre 4/5/2016,Open Time Post 4/5/2016,Close Time Pre 4/5/2016,Close Time Post 4/5/2016,Store Age,Population within 5mi(1000s),Competition within 5mi
8,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,29,369,8
11,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,29,53,1
45,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,18,225,32
53,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,6,222,6
57,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,3,41,47
101,Standalone,Rural,24,28,7:00,7:00,21:00,19:00,11,55,26
128,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,30,274,9
132,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,20,157,5
136,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,4,87,4
159,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,37,262,6
164,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,10,28,8
168,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,40,14,34
180,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,33,103,8
200,Strip Mall,Urban,24,28,7:00,7:00,21:00,19:00,5,118,39
201,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,5,40,38
238,Strip Mall,Urban,24,28,7:00,7:00,21:00,19:00,6,57,22
248,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,3,268,70
277,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,39,37,4
302,Strip Mall,Urban,24,28,7:00,7:00,21:00,19:00,22,270,55
312,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,36,16,0
334,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,8,39,35
377,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,24,5,2
389,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,9,239,77
404,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,32,70,14
440,Strip Mall,Urban,24,28,7:00,7:00,21:00,19:00,19,28,3
448,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,7,55,2
450,Strip Mall,Metropolitan,24,28,7:00,7:00,21:00,19:00,25,442,11
454,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,40,18,16
459,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,32,18,38
466,Strip Mall,Suburban,24,28,7:00,7:00,21:00,19:00,13,376,28
