StoreID,Store Type,Store Location,Associates per Open HourPre 4/5/2016,Associates per Open HourPost 4/5/2016,Open Time Pre 4/5/2016,Open Time Post 4/5/2016,Close Time Pre 4/5/2016,Close Time Post 4/5/2016,Store Age,Population within 5mi(1000s),Competition within 5mi
16,Strip Mall,Urban,24,24,7:00,7:00,21:00,20:00,28,66,1
17,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,18,117,25
19,Strip Mall,Rural,24,24,7:00,7:00,21:00,20:00,22,35,20
24,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,31,5,8
59,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,41,210,8
87,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,30,8,38
89,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,28,51,5
103,Standalone,Metropolitan,24,24,7:00,7:00,21:00,20:00,31,133,21
137,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,28,122,40
138,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,17,243,12
152,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,6,28,111
158,Strip Mall,Rural,24,24,7:00,7:00,21:00,20:00,38,144,9
171,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,20,24,12
174,Standalone,Metropolitan,24,24,7:00,7:00,21:00,20:00,27,8,10
185,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,16,168,64
196,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,2,413,10
208,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,17,272,19
221,Strip Mall,Urban,24,24,7:00,7:00,21:00,20:00,26,6,56
245,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,6,42,1
249,Standalone,Rural,24,24,7:00,7:00,21:00,20:00,31,114,63
257,Standalone,Rural,24,24,7:00,7:00,21:00,20:00,14,17,14
345,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,27,28,2
366,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,16,404,9
395,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,10,181,17
399,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,19,53,26
403,Strip Mall,Urban,24,24,7:00,7:00,21:00,20:00,37,189,7
410,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,13,103,4
413,Strip Mall,Urban,24,24,7:00,7:00,21:00,20:00,37,377,9
427,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,4,69,14
436,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,27,262,6
